id,title,type,release_year,age_certification,runtime,genres,production_countries,imdb_id,imdb_score,tmdb_popularity,tmdb_score
ts38770,Lady Dynamite,SHOW,2016,TV-MA,30,"['comedy', 'drama']",['US'],tt4789300,7.3,6.874,7.4
ts42038,No Tomorrow,SHOW,2016,TV-14,47,"['comedy', 'drama', 'romance', 'thriller']",['US'],tt1527428,7.3,7.804,6.2
tm244381,Marauders,MOVIE,2016,R,107,"['thriller', 'action', 'crime']",['CA'],tt3963816,5.5,24.663,5.8
ts42119,Greenleaf,SHOW,2016,TV-MA,42,['drama'],['US'],tt4971144,7.3,16.824,7.4
ts76079,Grizzy & the Lemmings,SHOW,2016,TV-Y7,7,"['comedy', 'animation', 'family', 'european']",['FR'],tt6717058,7.1,68.219,8.3
tm166321,Our Brand Is Crisis,MOVIE,2015,R,108,"['comedy', 'drama']",['US'],tt1018765,6.1,12.35,5.8
tm214825,The Ridiculous 6,MOVIE,2015,PG-13,119,"['western', 'action', 'comedy']",['US'],tt2479478,4.8,52.167,5.1
tm238661,Special Correspondents,MOVIE,2016,PG-13,100,['comedy'],"['US', 'CA', 'GB']",tt4181052,5.8,14.187,5.7
tm142881,Jem and the Holograms,MOVIE,2015,PG,119,"['fantasy', 'drama', 'family', 'music', 'romance', 'scifi']",['US'],tt3614814,4.1,11.088,5.5
tm270504,Mindhorn,MOVIE,2016,R,89,"['comedy', 'thriller']",['GB'],tt4799064,6.3,11.533,6.2
tm239707,The Do-Over,MOVIE,2016,PG-13,108,"['action', 'comedy']",['US'],tt4769836,5.7,13.392,5.7
ts41995,Zumbo's Just Desserts,SHOW,2016,TV-14,52,['reality'],['AU'],tt7239256,6.9,6.212,6.1
tm136061,Suffragette,MOVIE,2015,PG-13,106,"['drama', 'history']","['FR', 'GB']",tt3077214,6.9,9.53,7.3
ts78325,Sinatra: All or Nothing at All,SHOW,2015,TV-14,122,"['documentation', 'music']",['US'],tt3838978,8.0,5.024,7.3
tm135543,By the Sea,MOVIE,2015,R,122,"['drama', 'european', 'romance']","['US', 'FR']",tt3707106,5.3,9.388,5.6
ts11670,The Adventures of Puss in Boots,SHOW,2015,TV-Y7,23,"['family', 'animation', 'comedy', 'fantasy', 'western', 'action']",['US'],tt3807034,6.6,14.724,6.9
ts42090,Last Chance U,SHOW,2016,TV-MA,55,"['documentation', 'sport']",['US'],tt5863126,8.4,16.641,7.3
ts86021,Molang,SHOW,2015,TV-G,3,"['animation', 'comedy', 'family', 'european']",['FR'],tt6046238,8.4,8.324,8.0
ts42257,Signal,SHOW,2016,TV-MA,71,"['crime', 'scifi', 'thriller', 'drama', 'fantasy']",['KR'],tt5332206,8.6,8.776,8.1
ts35406,Between,SHOW,2015,TV-14,25,"['scifi', 'drama', 'thriller']",['CA'],tt4531748,6.0,26.43,5.7
ts128895,Midnight Diner: Tokyo Stories,SHOW,2016,TV-14,28,['drama'],['JP'],tt6150576,8.4,8.013,7.6
tm138792,Results,MOVIE,2015,R,105,"['comedy', 'romance']",['US'],tt3824412,5.4,7.885,5.1
